id,name,category,price,oldPrice,description,images
p1,AD Stone Leaf Design Necklace Set,Necklace,699,899,"Delicate, botanical-inspired leaf motifs intricately encrusted with premium American Diamonds, creating a graceful silhouette.",https://cdn.shopify.com/s/files/1/0725/4687/7487/files/WhatsAppImage2025-12-17at3.54.13PM.jpg?v=1765967074&width=900|https://cdn.shopify.com/s/files/1/0725/4687/7487/files/WhatsAppImage2025-12-03at11.06.13AM.jpg?v=1765789887&width=900
p2,AD Stone Necklace Set,Necklace,599,699,A dazzling ensemble featuring a beautifully crafted necklace and matching earrings studded with sparkling AD stones.,https://cdn.shopify.com/s/files/1/0725/4687/7487/files/WhatsAppImage2025-12-03at11.06.13AM.jpg?v=1765789887&width=900
p3,AD Stone Bangles Set,Bangles,899,999,Premium AD Stone bangles encrusted with precision-cut American Diamonds that deliver a diamond-like fire and sparkle.,https://cdn.shopify.com/s/files/1/0725/4687/7487/files/WhatsAppImage2025-12-17at3.31.25PM.jpg?v=1765966235&width=900|https://cdn.shopify.com/s/files/1/0725/4687/7487/files/WhatsAppImage2025-12-17at3.54.13PM.jpg?v=1765967074&width=900
p4,Matt Finish Kemp Stone Choker,Choker,1099,1299,"A rich matte-finish choker set with vibrant ruby-toned Kemp stones, perfect for festive and bridal looks.",https://cdn.shopify.com/s/files/1/0725/4687/7487/files/WhatsAppImage2026-03-18at11.56.48AM.jpg?v=1773817895&width=900
p5,Antique Finish Temple Jhumka Earrings Set,Earrings,599,699,"Trending temple-style jhumkas with an antique gold finish, bringing classic South Indian elegance to any outfit.",https://cdn.shopify.com/s/files/1/0725/4687/7487/files/WhatsAppImage2026-04-16at2.04.03PM.jpg?v=1776333293&width=900
p6,Kemp Stone and AD Stone Bangles,Bangles,1499,1699,A striking pairing of real-look Kemp stones and AD stones set in a traditional bangle silhouette.,https://cdn.shopify.com/s/files/1/0725/4687/7487/files/WhatsAppImage2026-04-14at5.28.06PM.jpg?v=1776340484&width=900
p7,Kalamkari Antique Finish Lakshmi Pendant Mid Haram Set,Haram,799,999,An antique-finish mid-length haram featuring a divine Lakshmi pendant with Kalamkari-inspired detailing.,https://cdn.shopify.com/s/files/1/0725/4687/7487/files/WhatsAppImage2026-04-14at3.30.59PM.jpg?v=1776161150&width=900
p8,Matt Finish AD Stone Double Jhumka Earrings,Earrings,699,799,"Layered double-jhumka earrings in a soft matte gold finish, embellished with shimmering AD stones.",https://cdn.shopify.com/s/files/1/0725/4687/7487/files/WhatsAppImage2026-04-17at4.57.28PM_2.jpg?v=1776432247&width=900
p9,"Lotus Necklace Set, Antique Finish",Necklace,599,699,"An antique-finish necklace set with a lotus motif, blending devotional symbolism with everyday elegance.",https://cdn.shopify.com/s/files/1/0725/4687/7487/files/WhatsAppImage2026-04-26at9.45.22AM.jpg?v=1777178083&width=900
p10,AD Stone GJ Polish Haram Set,Haram,1799,1999,"A rich gold-tone haram with dual-tone GJ polish and sparkling AD stones, ideal for grand festive occasions.",https://sriyascollection.com/cdn/shop/files/49.jpg?v=1764845324&width=900
p11,3D Antique Finish Temple Design Marriage Set,Bridal,6499,7499,"A grand bridal set with layered temple-inspired 3D detailing, designed to be the centerpiece of a wedding look.",https://sriyascollection.com/cdn/shop/files/WhatsApp_Image_2026-04-06_at_6.47.32_PM.jpg?v=1775481479&width=900
p12,Antique Design Lakshmi Haram Set,Haram,1299,1499,"A stunning haram with intricate Lakshmi detailing in an antique finish, striking on any traditional outfit.",https://sriyascollection.com/cdn/shop/files/WhatsAppImage2025-12-24at4.03.46PM.jpg?v=1766572500&width=900
p13,Silver Polish AD Stone Bangles,Bangles,999,1099,"Sleek silver-polish bangles set with premium American Diamond stones for a bright, contemporary shine.",https://sriyascollection.com/cdn/shop/files/59.jpg?v=1764841504&width=900
